round,player_id,team_label,money,current_equipment_cost,match_number
9,65289,T,4700,200,3
10,65280,CT,6250,200,3
10,65281,CT,4800,200,3
10,65282,CT,7300,200,3
10,65283,CT,5950,200,3
10,65284,CT,7050,200,3
10,65285,T,3850,200,3
10,65286,T,3550,200,3
10,65287,T,3550,200,3
10,65288,T,3300,200,3
10,65289,T,5850,4650,3
11,65280,CT,5000,200,3
11,65281,CT,5800,200,3
11,65282,CT,4200,6850,3
11,65283,CT,5900,200,3
11,65284,CT,5300,200,3
11,65285,T,2050,200,3
11,65286,T,2850,200,3
11,65287,T,2050,200,3
11,65288,T,3800,200,3
11,65289,T,4250,200,3
12,65280,CT,4350,4200,3
12,65281,CT,7350,200,3
12,65282,CT,7250,200,3
12,65283,CT,5950,200,3
12,65284,CT,4200,4450,3
12,65285,T,2650,200,3
12,65286,T,4300,200,3
12,65287,T,2550,200,3
12,65288,T,2500,200,3
12,65289,T,3150,200,3
13,65280,T,800,200,3
13,65281,T,800,200,3
13,65282,T,800,200,3
13,65283,T,800,200,3
13,65284,T,800,200,3
13,65285,CT,800,200,3
13,65286,CT,800,200,3
13,65287,CT,800,200,3
13,65288,CT,800,200,3
13,65289,CT,800,200,3
14,65280,T,2700,200,3
14,65281,T,2350,200,3
14,65282,T,2350,200,3
14,65283,T,2700,200,3
14,65284,T,2200,200,3
14,65285,CT,3700,200,3
14,65286,CT,4000,1250,3
14,65287,CT,3550,200,3
14,65288,CT,3650,200,3
14,65289,CT,4350,400,3
15,65280,T,4200,200,3
15,65281,T,3750,200,3
15,65282,T,2400,200,3
15,65283,T,3700,200,3
15,65284,T,2850,200,3
15,65285,CT,4550,200,3
15,65286,CT,4800,200,3
15,65287,CT,4200,4000,3
15,65288,CT,5400,200,3
15,65289,CT,3750,3950,3
16,65280,T,6050,200,3
16,65281,T,5750,200,3
16,65282,T,5000,200,3
16,65283,T,5050,200,3
16,65284,T,4400,200,3
16,65285,CT,4750,4400,3
16,65286,CT,5450,4400,3
16,65287,CT,6100,200,3
16,65288,CT,4800,200,3
16,65289,CT,5900,200,3
17,65280,T,5450,200,3
17,65281,T,6750,3000,3
17,65282,T,4800,200,3
17,65283,T,5550,200,3
17,65284,T,3950,3550,3
17,65285,CT,5550,200,3
17,65286,CT,5950,3900,3
17,65287,CT,1550,5550,3
17,65288,CT,4200,200,3
17,65289,CT,2900,200,3
18,65280,T,5450,200,3
18,65281,T,9100,200,3
18,65282,T,3250,200,3
18,65283,T,5750,200,3
18,65284,T,5950,200,3
18,65285,CT,4550,200,3
18,65286,CT,8550,6350,3
18,65287,CT,4350,200,3
18,65288,CT,3500,200,3
18,65289,CT,4800,200,3
19,65280,T,4850,200,3
19,65281,T,8300,200,3
19,65282,T,5450,200,3
19,65283,T,5150,200,3
19,65284,T,4300,200,3
19,65285,CT,4200,6750,3
19,65286,CT,5400,200,3
19,65287,CT,3400,4400,3
19,65288,CT,6350,200,3
19,65289,CT,3250,200,3
20,65280,T,3750,200,3
20,65281,T,8000,200,3
20,65282,T,3450,200,3
20,65283,T,5150,200,3
20,65284,T,4100,200,3
20,65285,CT,6950,200,3
20,65286,CT,3950,200,3
20,65287,CT,5250,6850,3
20,65288,CT,3300,200,3
20,65289,CT,4850,6950,3
21,65280,T,5750,3900,3
21,65281,T,5400,3900,3
21,65282,T,3900,200,3
21,65283,T,4950,200,3
21,65284,T,3700,200,3
21,65285,CT,3250,200,3
21,65286,CT,1450,200,3
21,65287,CT,6250,5950,3
21,65288,CT,3100,6600,3
21,65289,CT,2350,200,3
22,65280,T,8450,200,3
22,65281,T,8850,200,3
22,65282,T,3700,200,3
22,65283,T,5250,3400,3
22,65284,T,3900,200,3
22,65285,CT,3950,200,3
22,65286,CT,2750,200,3
22,65287,CT,6850,200,3
22,65288,CT,2350,200,3
22,65289,CT,2200,5900,3
23,65280,T,6050,200,3
23,65281,T,7550,200,3
23,65282,T,2400,200,3
23,65283,T,7150,200,3
23,65284,T,2700,200,3
23,65285,CT,3600,4300,3
23,65286,CT,3850,3900,3
23,65287,CT,4050,6350,3
23,65288,CT,3300,7250,3
23,65289,CT,4800,4450,3
24,65280,T,4800,4100,3
24,65281,T,10000,5950,3
24,65282,T,4450,200,3
24,65283,T,3300,200,3
24,65284,T,3250,200,3
24,65285,CT,1400,200,3
24,65286,CT,3450,200,3
24,65287,CT,4450,200,3
24,65288,CT,4500,200,3
24,65289,CT,5600,200,3
2,65280,CT,4250,850,4
2,65281,CT,4250,200,4
2,65282,CT,3650,200,4
2,65283,CT,3950,200,4
