round,player_id,first_equip_tick,match_number
8,65282,40999,35
8,65283,40320,35
9,65281,45685,35
9,65282,45650,35
9,65283,44326,35
9,65286,47389,35
9,65287,44418,35
9,65288,51152,35
10,65281,52260,35
10,65282,51527,35
10,65283,52161,35
10,65284,51542,35
10,65288,52406,35
11,65280,60208,35
11,65281,59780,35
11,65282,60962,35
11,65283,59855,35
11,65284,59814,35
11,65285,63785,35
11,65286,65099,35
11,65287,63724,35
11,65288,59785,35
12,65286,65764,35
12,65287,66834,35
12,65288,65681,35
15,65282,93049,35
16,65281,102721,35
16,65289,106181,35
17,65280,111190,35
17,65288,107330,35
17,65289,106321,35
18,65281,112801,35
18,65284,112684,35
19,65281,117365,35
19,65282,116479,35
19,65288,122355,35
20,65281,123899,35
20,65282,125096,35
20,65284,123840,35
21,65282,130734,35
21,65283,130981,35
21,65284,131706,35
21,65288,133674,35
22,65282,135670,35
22,65284,135571,35
24,65281,144262,35
24,65288,144414,35
4,65281,13150,36
4,65285,15804,36
5,65280,17637,36
5,65281,18561,36
5,65283,18125,36
6,65281,21495,36
6,65282,24810,36
6,65283,21658,36
6,65287,20472,36
7,65281,27151,36
7,65283,27180,36
7,65284,30515,36
8,65284,31016,36
9,65284,33695,36
10,65284,36798,36
10,65286,36747,36
11,65284,41311,36
12,65283,44715,36
12,65284,43956,36
12,65286,44747,36
12,65287,44033,36
12,65289,45611,36
5,65282,27445,37
5,65285,30499,37
6,65282,37223,37
6,65286,35201,37
7,65282,37984,37
7,65288,42991,37
8,65280,43333,37
8,65282,43604,37
8,65285,46040,37
8,65288,44627,37
9,65285,50275,37
9,65287,50256,37
10,65287,54599,37
11,65280,61245,37
11,65281,58639,37
11,65285,60238,37
11,65287,58863,37
12,65285,66766,37
12,65286,66972,37
12,65287,66763,37
16,65281,89617,37
16,65287,93650,37
17,65280,93977,37
17,65282,94027,37
17,65286,98949,37
17,65287,93961,37
18,65286,101868,37
18,65287,102074,37
4,65281,21322,38
4,65282,16155,38
5,65282,21574,38
5,65287,21636,38
5,65288,21642,38
5,65289,23259,38
